name,address,google_maps_url
Classic Cinemas Oak Park,"1022 Lake St, Oak Park, IL 60301",https://maps.app.goo.gl/E2aJPPTCZJQqGy526
LWC West End,"14911 127th St, Lemont, IL 60439",https://maps.app.goo.gl/Su6T1hyFdY8tJ2zVA
Lithuanian Center,"5600 S Claremont Ave, Chicago, IL 60636",https://maps.app.goo.gl/Gnpw8ga1JWPp7ru19
Lithuanian Museum of Art,"14911 E 127th St, Lemont, IL 60439",https://maps.app.goo.gl/74KRZMHqMTbdXD4s5
Balzekas Museum Of Lithuanian Culture,"6500 S Pulaski Rd, Chicago, IL 60629",https://maps.app.goo.gl/H88Av7DYEZFxXT5G7
